4,"The story revolves around Manikyan (UNK), Sreekrishnan(Nedumudi Venu) and Karthumbi (Shobana) and the love triangle between them. Manikyan works for Sreekrishnan and Sreekrishnan sees him like a brother. Once when they both are returning from a Mela after shopping, Sreekrishnan sees Karthumbi and gets attracted. But then a fight erupts there and they all have to flee. Sreekrishnan flees alone while Manikyan has to take Karthumbi with him. At night, he flees in the opposite direction and so loses his way. Karthumbi knows the way back but she pretends as if she does not know it and enjoys the fun. Manikyan has to struggle to get out of that place. During that time they fall in love.
Once they are back in Manikyan's village, Sreekrishnan proposes her and plans to get married to her. Manikyan can not resist because Sreekrishnan is like an elder brother to him. But Karthumbi opposes. When Sreekrishnan gets to know about this, he gets angry and Manikyan becomes his enemy and he tries t"
0,"es the old man to death. Shankar meets Bulla and his henchmen and promises them that he will kill all of them in 10 days. On his way back, Shankar finds an abandoned baby girl child, and adopts despite his condition.
Shankar then goes on a rampage and starts killing all of Bulla's accomplices one by one, starting with Gulshan. Shankar finds Ibu Hatela attempting to rape a girl, and beheads him too. However, when he tries to assassinate the politician Bachubhai Bhigona, a sniper from another car kills Bhigona. Shankar is caught and charged for the murder, and is sentenced to a life term in prison. Shankar escapes prison the same night, and goes after Inspector Kale. Shankar is then ambushed by several Kung-fu trained goons with knives, submachine guns and grenades. Shankar thrashes them and kills Kale.
After this, Shankar goes after Chikna, who is employed by Bulla to lure village girls to the city and then force them into prostitution. Before killing Chikna, Shankar learns that the b"
6," a game of cat and mouse. Sumer loots the granary of the Thakurs and Vikram loots the money they earned after selling the produce in the market. In response, Sumer loots the Haveli (Mansion) of the Thakurs. At this point, Rajendra is restored back to his position and takes charge of the situation. Vikram now plans to burn up the entire village. Meanwhile, Vikram's gang leader plots to get him killed in a police encounter by leaking this information to the police for a hefty price. As planned, Vikram arrives in the village, but is trapped by the police. He manages to escape, but most of his gang members are killed. Sumer plans to retaliate by raiding the Haveli of the Thakurs once more. It is now clear that there would be a major showdown between the two rivals. Rajendra gets to investigate the rebellion and comes across brutalities committed by Hanumant. He plans to get him and his accomplices suspended from the police force. Hanumant plans to eliminate Rajendra in the upcoming showdow"
3,"fell in love with him. Their marriage was fixed. One night, however, she witnessed Nikhil killing Jamnadas as Jamnadas confronted Nikhil about the latter's conspiracy of obtaining the orphanage in his name on the pretext of benefitting the orphans, and instead, demolishing the orphanage and building a contruction site for his personal gain. Khushi then confronted Nikhil and threatens to go to the police and calls him a murderer. Nikhil then strangled Khushi to death. With Vasu Reddy's help, Nikhil proved Jamnadas' death and Khushi's death as accidents. Khushi came to Anna as a spirit, asking for help. Anna was surprised that the boys could see Khushi and took it as God's sign, which is why she brought the boys to the house to help her.
The boys plan to scare Vasu into confessing the truth but their plan is ruined when Nikhil returns and mocks that they don't have any evidence to prosecute him for the alleged crime. This infuriates Khushi, who brutally attacks Nikhil and almost kills h"
3,"ts Venkatadri leave as he is desperate but tells his henchmen to kill Venkatadri if a girl does not come there at the station (which implies that Keerthi loves Venkatadri). Terrified, Keerthi sends Swathi to the station and tells her to tell Venkatadri that she is the lover and that she won't be able to make it to the station. Swathi, seeing Venkatadri, falls in love after all that has happened, and pretends that she is the lover. Keerthi calls her, but Swathi throws the cell phone away, hoping to erase Keerthi from his life completely.
Many years later, after Venkatadri and Swathi's marriage, they have a son. Swathi passes away shortly after. However, before her death, she leaves a diary for her son that outlines the whole story between the phone calls of Venkatadri and Keerthi and their love. The son later goes to Keerthi's house with Venkatadri to visit an elderly Naidu. Venkatadri is shocked that Keerthi has remained unmarried. The son asks Keerthi to come with him and become his "
1,"A man was orphaned at childhood, not aware of his religion nor his background, this young man is taken in by a gangster and trained to accept crime as his career. This young man grows up to be a dreaded gangster himself by the name of Master. He works for another rich and powerful gangster by the name of Paul, who assigns him to work for hefty fees. One day Master comes across an abandoned child and decides to adopt the child. This changes his life, and he decides to go straight and give up on all criminal activities. That's when he finds out that getting honest employment is a lot more difficult than living a life of crime. Just when he is about to give up, he witnesses some men attempting to molest a woman, and he comes to her rescue. This woman is a well-known artist by the name of Roopadevi, who decides to help Master out, and gives him a loan to open his own garage. When Paul attempts to bring Master back to his criminal world, Master turns him down. A few days later, the police r"
4,"Thomas Chacko, or ""Aadu Thoma"" as he is widely known, is a local gangster and a quarry owner, who is notorious for being the undefeated champion in his confronts and the unrivaled contender in the trade. He is feared in the locality for his atypical practices, like drinking the blood of black male goats before fights (an act that is believed to be the source of his strength) and using his Mundu as a weapon during fights. In spite of his frightening nature, he is known to have a good heart, gambling with his life for just cause. He is the son of the retired school headmaster Chacko (Chacko master), the President's medal winner in mathematics. Thoma is the never-ending headache of his 'respectable' father, both never getting along on any occasion. His mother and sister are caught in the row, left to choose between sides; while Chacko master's brother – Manimala Vakkachan, supports Thoma whatsoever. Pookoya, a local baron, is the newly-made enemy of Thoma, along with his sub-inspector (S."
3,"The protagonist of the movie is born with a divine grace of Lord Shiva (UNK) and the boy's parents are advised to name him as Mallikarjuna as he is destined to accomplish a great work. During his childhood, Mallikarjuna faces a great tragedy as his parents and grandparents are killed by a huge feline creature when they are returning from Kashi. This incident leaves his younger sister, Sailu (Abhinaya) paralyzed from the waist and hence renders her lame (Sailu had a talent for dancing before this incident). Malli then develops strong hatred towards Lord Shiva.
Meanwhile, the scene shifts to the focus of a demon named Andhakasura (Ravi Shankar). We see him performing a severe penance to obtain the boon of Lord Shiva. Lord Shiva blesses the demon that he will not interfere in the latter's attempt to sacrifice a virgin girl in order to obtain complete rulership over the 3 worlds. The demon is advised by his aged friend Maayi (Jeeva) that the sacrifice must be made in a month havin"
3,"revenge on Lucky’s family. First Ram is defamed in the public by a women who is hired by Shiva Reddy to get him out of his Police job, their legally built house is demolished and someone informs Ram and Sameer's father that Lucky stole the jeep. Ram beats up Lucky in full public view, accuses him of giving love to the family to cover up his mistake, and throws him out of the family, telling him to never return, at which point his mother suffers a heart attack.
Lucky is attacked by Shiva Reddy, who gloats to him about his power and how Lucky's ""attitude"" will always keep the useless wastrel he is. Lucky escapes after Shiva Reddy brutally beats him and plans to take revenge on Shiva Reddy with the help of Home Minister Govardhan (Posani Krishna Murali), whom he helped in the past by projecting him as a philanthropist. He fools him by saying that he is suffering from leukemia and requests him to charge him as a special police officer along with a team of frustrated police officers. He al"
9,"Aiyampettai Arivudainambi Kaliyaperumal Chandran (UNK) is looking for a better paying job after completing his degree. He and his sister Uma (Viji Chandrasekhar) have no relatives or acquaintances except their doctor/family friend (Poornam Vishwanathan). The doctor advises him to attend an interview for a job at his friend Sriramachandramurthy's (Thengai Srinivasan) import-export company, Sarojini Traders. Sriramachandramurthy is a man of traditional values: he hates youths wearing modern clothes. He is a sports fan but thinks lowly of youths knowing anything about sports. He dislikes men without moustaches as he believes such men are characterless.
Chandran, however, has a moustache; the doctor advises Chandran to take care of the other problems by acting in a manner Sriramachandramurthy appreciates: namely wearing a Nehru jacket for a usual dress given the poverty in the country, to always tell his full name, giving importance to his moustache, behaving decently, showing a l"
