8,"i). At one time, he is shot by Tiger for stealing his goods. In an attempt to hide, he finds his mother, who he thought was dead in the fire. In a rude awakening, he decides to stop stealing and join with his long lost family. Incidentally, Balbir saves Shankar's sister Shanti (Rita Bhaduri), who is chased by Tiger's men when she goes outside to bring medicine for her mother. Shankar reunites with his long lost mother and sister. Shankar finds out from his sister that the enemy who he thought ha"
6," by the dacoits. Jai attacks the gang, and the three are able to flee Gabbar's hideout with dacoits in pursuit. Fighting from behind a rock, Jai and Veeru nearly run out of ammunition. Veeru, unaware that Jai was wounded in the gunfight, is forced to leave for more ammunition. Meanwhile, Jai, who is continuing the gunfight singlehandedly, decides to sacrifice himself by using his last bullet to ignite dynamite sticks on a bridge from close range.
Veeru returns, and Jai dies in his arms. Enraged"
3,"will impress Subramaniam. Hasini lies to her father Govindan that she is going for a college trip and leaves for Santosh’s home.
Everyone at Subramaniam’s home view Hasini indifferently seeing her talkative nature compared to Subramaniam’s family members who are more mature and not so talkative, especially Subramaniam. Santosh asks Hasini to try impressing his family members, fearing Subramaniam might not accept for the wedding. Slowly, Hasini starts befriending Santosh’s mother and sisters and"
9,". At that time, a weird looking sadhu comes to him and tell him that its time for getting enlightened. Baba is taken to Himalayas where he meets the real Baba. He gets frightened by the atmosphere and wishes to return to Chennai. Then real Baba grants 7 wishes to Baba. He can use any of these wishes anytime he wishes to utilize. Baba is sent back to Chennai. Baba still could not believe that he went to Himalayas met real Baba. He uses that mantra to test the power by wishing a flying kite to com"
4,"Palamattathu Varghese Mappila (Saikumar) is a wealthy Nasrani and a retired captain from the Indian Army. He is a widower and has four children, Christy (Mohanlal), Joji (Dileep), Jessy (Lakshmi Gopalaswamy) and Stella (Kanika). Varghese Mappila also has a property dispute with Kunnel Kumaran Thampy who kills Kochuthomma (Jagathy Sreekumar), brother of Vargheese Mappila.
Christy is a high-profile police informer who is working in Mumbai . His brother Joji goes to Italy to study theology, but la"
6,"en he asks for leave to marry. Rajesh reaches office on being called by Sharma, but finds him murdered. Rajesh goes to call the police and returns with them to find the body missing. Intelligence chief Mr Roy and his assistant Mr. D'Mello ask Rajesh to take the murder blame of Sharma, so that miscreants after Sharma's research can be caught. Roy devises an escape plan for Rajesh, but it goes wrong and Rajesh is kidnapped by Shetty and taken to Mozambique. Rajesh is imprisoned and a look alike na"
5,"way from home in order to unite with Bobby. They run away together. Mr. Nath advertises a reward for anyone who can help find his son. Prem Chopra (Prem Chopra) decides that he wants the money, and he and his goons kidnap Raj and Bobby. When they try to escape, Prem starts beating Raj. Mr. Nath and the police come to help, and they find Jack already there attempting to help Raj. Raj and Bobby run away from their fathers and jump over a waterfall. Mr. Nath and Jack jump into the water after them."
4,"out open with the parentage claim. Induchoodan at first thrashes the protesters. But upon knowing the truth from Chandrabhanu (Jagathi Sreekumar) his uncle, he accepts the task of her protection in the capacity as elder brother. Induchoodan decides to marry Indulekha to his good friend Jayakrishnan (Vijayakumar). Induchoodan confronts his father and prods him to accept mistake and acknowledge the parentage of Indulekha. Menon ultimately regrets and secretly goes on to confess to his daughter. Th"
3,"sts to Mumbai, through a ship containing full of explosives & weapons. Anwar at first makes them think that he is on their side, but soon he blasts the ship by firing on it and killing all of the terrorists. Babu Sait becomes furious, that Anwar cheats them. When Anwar says about his parents, their flashbacks, which Babu Sait commits suicide. Anwar then calls the phone of Stalin which is under the police custody. He tells that the mission is over.
After that it is narrated that Stalin & his col"
4,"P. Madhavan Nair (Mohanlal) is a middle-aged Nair man who has come to toil in the deserts of the Middle East to fulfil his responsibilities to his family of two younger sisters who must be married, and a father whose debt has to be paid. Since he's a Nair he possessed several super powers that enabled him to enter Gulf without Visa and Passport. He has neither found the time to get married nor to have a life of his own. One day, he meets Meenakshi (Raai Laxmi). At the first, he was curious wheth"
